title,genre,director,country,year
Большая картина,комедия,Кристофер Гест,,1988
Бойня в долине памяти,"триллер,фильм ужасов",,,1988
Близкий друг,драма,Норман Рене,,1989
Ближайший родственник,боевик,Джон Ирвин,,1989
Битва на Косовом поле,"исторический,военный,кинодрама",,,1989
Биндюжник и Король,мюзикл,Владимир Алеников,,
Большая игра,детектив,Семён Аранович,,1988
Бесаме,драма,Нино Ахвледиани,,1989
Благословенные,драма,Ингмар Бергман,,1986
Большой переполох,комедия,Джон Кассаветис,,1986
Беспредел,"криминальная,драма",Игорь Гостев,,1989
Боевые искусства Шаолиня,боевик,,,1986
Большой переполох в маленьком Китае,"фантастика,боевик,комедия",Джон Карпентер,,1986
Блу-сити,детектив,Мишель Маннинг,,1986
«Большой»,,Пенни Маршалл,,1988
Бигглз: Приключения во времени,"приключения,семейный фильм,фантастика,военный фильм",Джон Хью,,1986
Большой кайф,"нео-нуарный,триллер",Джим МакБрайд,,1986
Белый апач,Спагетти-вестерн,"Клаудио Фрагассо,Бруно Маттеи",,1986
Ботанический сад,драма,Владимир Гостюхин,,1997
Брат нашего Бога,"драма,биографический",Кшиштоф Занусси,,
Берега в тумане,драма,Юлий Карасик,,
Берег москитов,драма,Питер Уир,,1986
Блаженство,драма,,,1997
Брат,"криминальная драма,русский рок",Алексей Балабанов,,
Благодетель,драма,Фрэнсис Форд Коппола,,1997
Большая Америка,"документальный,комедия",Майкл Мур,,1997
Билет,драма,Стюарт Купер,,1997
Боксёр,Драма,Джим Шеридан,,
Бумеранг,комедия,Реджинальд Хадлин,,1992
Бродяга,"триллер,фильм ужасов",Крис Уолас,,1992
"Большой капкан, или Соло для кошки при полной луне",Мелодрама,"Анатолий Галиев,Хасан Биджиев",,1992
Бритоголовые,"драма,криминальный фильм",,,1992
Бриллиантовое руно,комедия,Эл Уэксмэн,,1992
Бонни и Клайд: Подлинная история,Драма,Гэри Хоффман,,
Бомба замедленного действия / Успеть вспомнить,триллер,Ави Нешер,,1992
Бунтари неонового бога,драма,Цай Минлян,,1992
Большие девочки не плачут… они дают сдачи,комедия,Джоэн Миклин Силвер,,1992
Восставший Дракула,"фильм ужасов,мелодрама",,,1993
Воробей,драма,Франко Дзеффирелли,,1993
Вольный охотник,боевик,Курт Андерсон,,1993
Воин радуги,драма,Майкл Тачнер,,1993
Возвращение живых мертвецов 3,"фильм ужасов,мелодрама",,,1993
Возвращение Геркулеса,комедия,Дэвид Паркер,,1993
Вооружённый отряд,,Марио Ван Пиблз,,1993
Выкуп,комедия,Владимир Балкашинов,,1994
Высокая мода,"комедийная драма,сатира",Роберт Олтмен,,1994
Вуковар,"военная,драма",Боро Драшкович,,1994
Восхождение тёмного ангела,"фильм ужасов,мелодрама",Линда Хассани,,1994
Времена сердца,драма,Ли Грант,,1994
Высшая лига 2,комедия,Дэвид Уорд,,1994
Возврата нет,боевик,Джон Бэдэм,,1993
Вне подозрений,"драма,триллер",,,1995
Воровка,"комедия,криминальный фильм","Валерий Усков,Владимир Краснопольский",,1994
Волшебное приключение Эвы,"комедия,драма,семейный фильм",Патрик Демпси,,1994
Волшебник Изумрудного города,сказка,Павел Арсенов,,1994
Влюблённый Либерман,независимый кинематограф,Кристин Лахти,,1995
Ворон,,,,
Ворон,,Алекс Пройас,,1994
Волк,"романтический,фильм ужасов",Майк Николс,,
Виртуозность,"фантастика,триллер",Бретт Леонард,,1995
Виртуальный убийца,"боевик,фантастика",Роберт Ли,,1995
Виртуальное соблазнение,фантастика,Пол Зиллер,,1995
Весельчак,мелодрама,Рам Гопал Варма,,1995
Вестсайдский вальс,мелодрама,Эрнест Томпсон,,1995
Взгляд Улисса,драма,Теодорос Ангелопулос,,1995
Велорикша,"драма,гангстерский",Чан Ань Хунг,,1995
Вампир в Бруклине,"фильм ужасов,комедия,мелодрама",Уэс Крэйвен,,1995
Вдали от дома: Приключения жёлтого пса,семейный фильм,Филлип Борсос,,1995
Вдали от Рангуна,"драма,боевик",Джон Бурмен,,
В последний момент,"боевик,криминальный фильм,драма,триллер",Джон Бэдэм,,1995
Давайте потанцуем?,комедийный фильм,Масаюки Суо,,
Гражданка Рут,комедийная драма,Александр Пэйн,,1996
Герой-одиночка,"боевик,драма",Уолтер Хилл,,
Выход в красное,драма,,,1996
Великая Афродита,комедия,Вуди Аллен,,1995
Гамлет,драма,Кеннет Брана,,
Гамера 2: Нападение космического легиона,"фантастика,токусацу,боевик",Сюсукэ Канэко,,
Выкуп,"триллер,драма",Рон Ховард,,1996
Газонокосильщик 2: За пределами киберпространства,"фантастика,киберпанк",Фархад Мэнн,,1996
Вызов,криминальная драма,Ф. Гэри Грей,,1996
Враг общества № 1,биографический фильм,,,
Дочери счастья,,Марта Месарош,,1999
Время бешеных псов,"криминальная драма,комедия",Лэрри Бишоп,,1996
"Все говорят, что я люблю тебя","комедия,мелодрама,мюзикл",Вуди Аллен,,1996
Вход к тигру / Дверь на сцену,комедия-драма,,,1996
Время убивать,триллер,Джоэл Шумахер,,1996
Дорогая М,драма,Отар Шаматава,,1999
Всё взаимно,мелодрама,Шерон Поллак,,
Дом ночных призраков,"фильм ужасов,триллер",Уильям Мэлоун,,1999
Догма,"мистика,драма,комедия,приключения",Кевин Смит,,1999
"Дикий, дикий Вест","фантастический,вестерн,стимпанк,боевик,комедия",Барри Зонненфельд,,
Дорога на Рукаярви ,"военный фильм,драма",,,1999
Дорога на Арлингтон,"боевик,криминальный фильм,драма,триллер",Марк Пеллингтон,,1999
Дорога домой,"драма,мелодрама",Чжан Имоу,,1999
Дикий ноль,"чёрная комедия,фильм ужасов",,,1999
Вот такие пироги,"комедия,мелодрама,драма",Дин Паризо,,1998
Воссоединение семейки Аддамс,"чёрная комедия,семейный фильм,фэнтези",,,1998
Джеки Чан: Мои трюки,документальный фильм,Джеки Чан,,1999
Дети века,"драма,мелодрама,фильм-биография",Диана Кюрис,,1999
Дети природы,драма,Жан Беккер,,1999
Дети кукурузы 666: Возвращение Айзека,"фильм ужасов,триллер",Кари Скогланд,,1999
Возвращение к истокам,Драма,Майя Анжелу,,1998
Внезапное нападение,"боевик,детективный фильм",Эрнест Дикерсон,,1998
Детройт — город рока,комедия,Адам Рифкин,,
Взрыватель,"боевик,триллер",Цуй Харк,,1998
Вечность и один день,Драма,Теодорос Ангелопулос,,1998
Воображаемая жизнь ангелов,"драма,мелодрама",Эрик Зонка,,1998
Вечер выборов,Кинокомедия,Андерс Томас Йенсен,,1998
Великан,"драма,комедия",Питер Челсом,,1998
Вышибала,"триллер,драма",Джордж Ромеро,,2000
Вампиры,фильм ужасов,Джон Карпентер,,1998
Вторая тень,"драма,фильм-биография,исторический фильм",Сильвано Агости,,2000
Влюблённый Шекспир,"драма,мелодрама,комедия",Джон Мэдден,,1998
Вандомская площадь,"криминал,драма",Николь Гарсиа,,1998
Вундеркинды,комедийная драма,Кёртис Хэнсон,,2000
Вспоминая титанов,драма,Боаз Якин,,2000
Время пьяных лошадей,драма,Бахман Гобади,,2000
Вторая кожа,драма,Херардо Вера,,2000
Врата ада,"триллер,ужасы,мистика",Майкл Б. Драксман,,2000
"Все возможно, детка","комедия,мелодрама",,,2000
Ворон 3: Спасение,"cупергеройский фильм,фэнтези,триллер,драма",Бхарат Наллури,,2000
Вне поля зрения,"боевик,комедия,криминальный фильм,мелодрама",Стивен Содерберг,,1998
Восставший из ада 5: Инферно,фильм ужасов,Скотт Дерриксон,,2000
Вратарь,драма,Гонсало Суарес,,2000
Дети моей сестры / Племяннички,комедия,Томас Виллум Йенсен,,2001
Дети кукурузы: Апокалипсис,фильм ужасов,Гай Магар,,2001
Возможные миры,,,,2000
Дети шпионов,"Шпионская фантастика,комедийный боевик,семейный фильм",Роберт Родригес,,2001
День святого Валентина,слэшер,,,2001
Девятая сессия,"фильм ужасов,драма",Брэд Андерсон,,
Военный ныряльщик,"биография,драма",Джордж Тиллман-младший,,2000
Девочки сверху,комедия,Деннис Ганзель,,2001
Даун Хаус,чёрная комедия,Роман Качанов,,2001
Дети живых мертвецов,"фильм ужасов,триллер",Тор Рэмси,,2001
Давилка 2: Компьютерный убийца,фильм ужасов,,,
Грузинский виноград,,Георгий Шенгелая,,2001
Грехи отца,"драма,триллер",Том Маклафлин,,2001
Встреча с угрозой,"криминальный фильм,триллер",,,2009
"Всё, что тебе нужно — это любовь, или Моя невестка — мужчина",комедия,,,2009
Грегуар Мулен против человечества,"комедия,мелодрама",Артюс де Пенгерн,,2001
Вскрытие,"фильм ужасов,триллер",Адам Гираш,,2009
Дагон,фильм ужасов,Стюарт Гордон,,2001
Давай сделаем это по-быстрому,"драма,криминальный фильм",Сергей Бодров,,2001
Всё путём,Трагикомедия,Кирк Джонс,,2009
Всё о Стиве,комедия,Фил Трейлл,,2009
Всё сначала,,Ксавье Джанноли,,2009
Врата: В 3D,"фильм ужасов,фэнтези,триллер",Джо Данте,,2009
Всадники,"триллер,ужасы,драма,детектив",Юнас Окерлунд,,
Время Каира,"драма,мелодрама",Руба Надда,,2009
Временно беременна,"комедия,мелодрама",,,2009
Воспитание чувств,мелодрама,Лоне Шерфиг,,2009
Враги народа,документальный фильм,"Тет Самбат,Роб Лемкин",,
Волк,"драма,приключения",Николя Ванье,,2009
Войны в женской общаге,"комедия,драма",,,
Воображариум доктора Парнаса,"фэнтези,магический реализм",Терри Гиллиам,,2009
Волчок,драма,Василий Сигарев,,2009
Волки,драма,Александр Колбышев,,2009
Другой путь,драма,Кристина Улофсон,,2003
Древнее предание:,исторический фильм,Ежи Гофман,,2003
Другой мир,"Боевик,Триллер,Фантастика",Лен Уайзман,,2003
Дочь моего босса,комедия,Дэвид Цукер,,2003
Другой мир,"тёмное фэнтези,боевик,ужасы","Лен Уайзман,Патрик Татопулос",,
Дьявольский особняк,триллер,Майк Фиггис,,2003
Дорога в Дженин,Документальный фильм,Пьер Рехов,,2003
Дом мертвецов,фильм ужасов,Уве Болл,,2003
"Династия: За кулисами секса, алчности и интриг","мелодрама,комедия",,,2005
Дом из песка и тумана,драма,Вадим Перельман,,2003
Дитя,драма,"Жан-Пьер Дарденн, Люк Дарденн",,2005
Дилер,"криминальная драма,гангстерский фильм",Николас Виндинг Рефн,,
Дневник безумной черной женщины,"драма,мелодрама,комедия",,,2005
Дикость 3: Неогранённые алмазы,"детектив,триллер,эротика",,,2005
Дракула 2: Вознесение,фильм о вампирах,Патрик Люссье,,2003
Джим с Пиккадилли,,,,2005
Десять минут тишины,"авангард,экспериментальный",Дмитрий Фролов,,2005
"Дикий, дикий пляж. Жар нежных",Документальный,Александр Расторгуев,,2005
Джинсы-талисман,"приключенческий фильм,комедия,драма",,,2005
Дилер 3,"криминальная драма,гангстерский фильм",Николас Виндинг Рефн,,2005
День катастрофы 2: Конец света,"Боевик,триллер,драма",Дик Лоури,,2005
Деньги на двоих,"триллер,драма,спорт",Ди-Джей Карузо,,
Денни цепной пёс,"боевик,криминальный фильм,драма,триллер",Луи Летерье,,2005
День из жизни,драма,,,2002
День мертвецов 2: Эпидемия,Фильм ужасов,"Ана Клавелл,Джеймс Гленн Дьюделсон",,2005
Двойное видение,"детектив,мистика,триллер",,,2002
Демон-любовник,драма,Оливье Ассайас,,2002
Двойная рокировка,"триллер,криминальный фильм",,,2002
Даже не думай!,комедия,Руслан Бальтцер,,2002
Грязные прелести,,Стивен Фрирз,,
Давно умерший:,фильм ужасов,Маркус Адамс,,2002
Девдас,"музыкальный фильм,экранизация,мелодрама,драма",Санджай Лила Бхансали,,2002
Грязные делишки,,,,2002
Доверься мужчине,комедия,Барт Фрейндлих,,2006
"Добро пожаловать, или соседям вход воспрещён","семейная,комедия",Джон Уайтселл,,
Гром в штанах,"комедия,семейный фильм",Питер Хьюитт,,2002
Добейся успеха 3: Всё или ничего,комедия,Стив Рэш,,2006
Дневники зомби,"фильм о зомби,зомби-апокалипсис,найденная плёнка",,,2006
Дикость,"слэшер,триллер",Майкл Бассетт,,2006
Дитя человеческое,"приключенческий фильм,драма,фантастика,триллер,антиутопия",Альфонсо Куарон,,2006
До первого снега,"триллер,драма",Марк Фергус,,
"Дикие тигры, которых я знал",драма,Кэм Арчер,,2006
Дикари,,Виктор Шамиров,,2006
Джиндабайн,драматический фильм,,,
Детонатор,"триллер,боевик",По-Чин Леонг,,2006
Дети без присмотра,комедия,Пол Фиг,,2006
Держи ритм,драма,Лиз Фридлендер,,2006
День денег,Кинокомедия,Алексей Рудаков,,2006
Дивизия радости,"военная,драма",,,2006
Десять лодок,"комедия,драма",Рольф Де Хир,,2006
Дежа вю,"фантастика,драма,триллер,Музыка к фильму",Тони Скотт,,2006
Грусть Дориана,комедия,,,2004
Горячие новости,боевик,Джонни То,,
Головой о стену,"драма,мелодрама",Фатих Акин,,2004
Голова в облаках,"драма,мелодрама,военный фильм",Джон Дайган,,2004
Голова,"комедия,фэнтези,эксплуатационное кино",Светлана Баскова,,2004
Год Лошади: Созвездие скорпиона,драма,Наталья Наумова,,2004
Говори,драма,Джессика Шарзер,,2004
Девушка из пригорода,"драма,комедия",Марк Клейн,,2007
Глюк,комедия,Тристан Оруэт,,2004
Два в одном,"драма,киноновелла",Кира Муратова,,2007
Гнев,"боевик,триллер,драма,криминал",Тони Скотт,,2004
Годзилла: Финальные войны,"фантастика,приключения",Рюхэй Китамура,,2004
Девочка и лисёнок,"приключенческий,драма,сказка,семейный",Люк Жаке,,2007
Дебби покоряет Даллас снова,порнофильм,,,
Две жизни Ясобуро Хачия,"документальный фильм,драма",Алексей Погребной,,2007
Дарфур сегодня,документальный фильм,Тед Браун,,2007
Давай поцелуемся,романтическая кинокомедия,Эмманюэль Муре,,2007
Господа офицеры: Спасти императора,"приключенческий фильм,истерн,драма",Олег Фомин,,2008
Госпел Хилл,драма,Джанкарло Эспозито,,2008
Да здравствует Лас-Вегас!,"музыкальный фильм,мелодрама",Джордж Сидни,,1964
Далёкая синяя высь,"научная фантастика,псевдодокументальный",Вернер Херцог,,
Гран Торино,"драма,триллер",Клинт Иствуд,,2008
Граница 1918,военный фильм,,,
Город Эмбер: Побег,"фантастика,приключения,постапокалиптика",Гил Кинан,,2008
Город призраков,"комедия,фэнтези",Дэвид Кепп,,2008
Горе пани Шнайдровой,драматический фильм,,,
Запретные желания,"боевик,мелодрама,комедия",,,2011
Замок Амеронген,драма,,,
Зал самоубийц,"драма,мелодрама",Ян Комаса,,2011
Жила-была одна баба,"исторический фильм,драма",Андрей Смирнов,,2011
Жизнь прекрасна,комедия-драма,Джонатан Ливайн,,2011
Жутко громко и запредельно близко,драма,Стивен Долдри,,2011
Записки экспедитора Тайной канцелярии,"приключения,история,комедия,детектив",Олег Рясков,,2011
Женщина из пятого округа,триллер,Павел Павликовский,,2011
Жизнь не может быть скучной,"комедия,драма,бадди-муви",Зоя Ахтар,,2011
Жизнь за один день,документальный,Кевин Макдональд,,2011
Добро пожаловать к Райли,драма,Джейк Скотт,,2010
Дни Улиц (Прогульщики),Драма,"Когуашвили, Леван",,2010
Живая сталь,"драма,фантастика,семейный,боевик,Рок,электроника,хип-хоп",Шон Леви,,2011
Добро пожаловать на Юг,комедия,Лука Миньеро,,2010
До последнего вздоха,"триллер,драма",Балтазар Кормакур,,2010
Дневник крестокрада,,,,2010
Джэни Джонс,"драма,музыка",,,2010
Дикость 4: Оргия,"детектив,драма,триллер,эротика",,,2010
Дикость,"детектив,эротика,триллер",,,
Дневник слабака,"комедия,семейный",Тор Фреденталь,,2010
Дилан Дог: Хроники вампиров,"мистика,фильм ужасов,комедия",Кевин Манро,,2010
Джона Хекс,"боевик,вестерн",Джимми Хейярд,,2010
Дикая штучка,комедия,Джонатан Линн,,2010
Запертые в гараже,"Драма,Комедия",Дженнифер Весткотт,,2012
Запретное образование,документальный фильм,,,
Звёздные войны XXX: Порнопародия,"порнофильм,пародия",Аксель Браун,,2012
Звёздный крейсер «Галактика»: Кровь и хром,"Боевая фантастика,космическая опера,драма",Джонас Пейт,,
Запретная зона,"ужасы,триллер,фантастика",,,2012
Защитник,"боевик,криминал,триллер",Боаз Якин,,2012
Заполнить пустоту,драма,,,2012
Застрял в любви,"комедия,драма",,,2012
Залив,"ужасы,псевдодокументальный фильм",Барри Левинсон,,
Закон Ханны,"драма,вестерн",,,2012
Закон доблести,,,,2012
Завоевание 1453,"исторический,военный",,,2012
Заклинательница акул,"триллер,ужасы",Джон Стоквелл,,2012
Заложники,"драма,триллер",Тобиас Линдхольм,,2012
Заложница 2,"боевик,криминал,триллер",Оливье Мегатон,,2012
Замуж на 2 дня,комедия,Паскаль Шомей,,2012
Заброшенная шахта,"Фильм ужасов,Приключенческий,Мистический",,,2012
Камень,"драма,боевик",,,2013
За Маркса…,криминальная драма,Светлана Баскова,,2012
"Каков отец, таков и сын",драма,Хирокадзу Корээда,,2013
Как украсть бриллиант,комедия,Джоэл Хопкинс,,2013
Как я теперь люблю,мелодрама,Кевин Макдональд,,2013
За холмами,драма,Кристиан Мунджиу,,2012
З/Л/О,"ужасы,псевдодокументальный фильм","Адам Вингард,Тай Уэст",,2012
Ип Ман: Последняя схватка,"боевик,биографический фильм,исторический фильм",,,2013
История одной старушки,,,,2013
Иуда,драма,Андрей Богатырёв,,2013
Инфекция,фильм ужасов,,,2013
Исчезнувшее изображение,документальный фильм,Ритхи Пань,,
Источник,драма,Ксавье Дюрринжер,,2013
Кадры,комедия,Шон Леви,,2013
Интимные места,"эротика,драма","Наталья Меркулова,Алексей Чупов",,2013
Интерьер. Кожаный бар.,документалистика,Джеймс Франко,,2013
Иллюзия обмана,"детективный,триллер,Саундтрек",Луи Летерье,,2013
Излечить страх,"исторический,драма",,,2013
Илоило,драма,Энтони Чэнь,,2013
Из пекла,"криминальный,триллер",Скотт Купер,,2013
Занавес,социальная драма,,,2016
Закон ночи,"гангстерский фильм,драма",Бен Аффлек,,2016
За синей дверью,"Фэнтези,приключения,семейный",Мариуш Палей,,2016
Инструкции не прилагаются,комедия-драма,,,2013
Жуткий,фильм-триллер,Киёси Куросава,,
Жизни Терезы,документальный фильм,,,
Завещание отца,Драма,,,2016
Жизнь,драма,Стефан Бризе,,2016
"Женщина, которая ушла",драма,Лав Диас,,
Женщины XX века,"драма,комедия",Майк Миллс,,2016
Жених,комедия,"Александр Незлобин,Заур Болотаев",,2016
Заклятие 2,фильм ужасов,Джеймс Ван,,2016
Захочу и соскочу,"криминальная,комедия",Сидней Сибилия,,2014
Железнодорожные тигры,"комедия,боевик,военный",Дин Шэн,,2016
Перенаправлены,"Гангстерский фильм,Боевик,Комедия,Триллер",,,2014
З/Л/О: Новый вирус,"ужасы,найденная плёнка","Джастин Бенсон,Аарон Мурхед,Начо Вигалондо",,2014
Жизнь и один день,драматический фильм,,,
Животное,"ужасы,триллер",Бретт Симмонс,,
Заложница 3,"боевик,триллер",Оливье Мегатон,,2014
Зал Джимми,"историческая,драма",Кен Лоуч,,2014
Жетулиу,драма,Жуан Жардин,,2014
Ещё один год,мелодрама,Оксана Бычкова,,2014
Если твоя девушка — зомби,зомби-комедия,,,
Женщина в черном 2: Ангел смерти,"ужасы,мистика,драма",Том Харпер,,2014
Добро пожаловать в Гармонию,"триллер,фильм ужасов,драма",Мигель Анхель Вивас,,2015
Дневник одного старика,драма,,,2015
Дневник девочки-подростка,комедия-драма,Мариэль Хеллер,,
Если я останусь,драма,Ар Джей Катлер,,2014
Ёлки 1914,"комедия,мелодрама","Тимур Бекмамбетов,Дмитрий Киселёв,Александр Котт,Юрий Быков,Александр Карпиловский,Екатерина Телегина,Андрей Кавун",,2014
Дневник горничной,,Бенуа Жако,,
Дипан,драма,Жак Одиар,,2015
Защитники,"фантастика,боевик,супергеройский",Сарик Андреасян,,2017
Джой,"драма,трагикомедия",Дэвид О. Расселл,,2015
Десять тысяч святых,драма,,,2015
Зачётный препод 3,комедийный фильм,,,2017
Джем и голограммы,"музыкальный фильм,фантастический фильм",Джон М. Чу,,2015
"Дивергент, глава 2: Инсургент","научная фантастика,антиутопия",Роберт Швентке,,2015
Декамерон,"комедия,драма",Паоло и Витторио Тавиани,,2015
Захочу и соскочу: Супергерои,"криминальная,комедия",Сидней Сибилия,,2017
Захочу и соскочу: Мастеркласс,"криминальная,комедия",Сидней Сибилия,,2017
Затмение,"фэнтези,приключения",Иван Кордзаия,,2017
,,,,
20-е декабря,исторический фильм,Григорий Никулин,,1981
4:0 в пользу Танечки,комедия,Радомир Василевский,,1982
4 американских композитора,"документальный,музыкальный",Питер Гринуэй,,1983
«1984»,Реклама,Ридли Скотт,,
Аферисты,комедия,Всеволод Шиловский,,1990
Архангел,"Мелодрама,Авангардный фильм,Сюрреалистический фильм,Артхаус",Гай Мэддин,,1990
Ангел тьмы,"боевик,кинофантастика",Крэйг Р. Бэксли,,1990
Адреналин,фильм ужасов,"Анита Ассаль,Бартоломи Бомпар",,1990
Адвокат,"драма,детектив",Искандер Хамраев,,1990
Авария,детектив,Джеймс Аллен,,1990
Арахнофобия,фильм ужасов,Фрэнк Маршалл,,1990
Автостоп,"мелодрама,комедийная драма",Никита Михалков,,1990
Бесконечная погоня,"комедия,боевик,приключения",Стивен Лисбергер,,
Агнесса Божья,"драма,триллер",Норман Джуисон,,1985
Агенты Сокол и Снеговик,"драма,триллер",Джон Шлезингер,,1985
Бешеные деньги,комедия,Артур Хиллер,,1987
"Берегись, дама!",триллер,Карен Артур,,1987
Бестселлер,триллер,Джон Флинн,,1987
Американские молнии,"спортивный,драматический фильм",Джон Бэдэм,,1985
Американский ниндзя,боевик,Сэм Фёрстенберг,,
Беллмен и Тру,драма,Ричард Лонкрейн,,1987
Белый призрак,боевик,Дасти Нельсон,,1987
Безумство духов,"комедия,фильм ужасов",Алан Смити,,1987
Без солнца,драма,Юлий Карасик,,1987
Безумие улиц,комедия,Амос Коллек,,1987
Бегущий человек,"боевик,антиутопия,приключение",Пол Майкл Глейзер,,1987
Безжалостная женщина,драма,Леа Пул,,1991
Бездомные твари,триллер,Джон Макферсон,,1991
Батарейки не прилагаются,"фантастика,комедия,семейный фильм",Мэттью Роббинс,,1987
Бегущий индеец,драма,Шон Пенн,,1991
Безумная Лори,мелодрама,Леонид Нечаев,,1991
Белое проклятье,,Николай Ковальский,,1987
Беги,"триллер,драма,боевик",Джофф Барроус,,1991
Бартон Финк,"сюрреалистическая,чёрная комедия",Братья Коэн,,1991
Близнецы,"комедия,бадди-муви",Айван Райтман,,1988
Башня,"драма,триллер",Виктор Трегубович,,1987
Билокси Блюз,комедийная драма,Майк Николс,,1988
Благородный разбойник ,Мелодрама,Вячеслав Никифоров,,
Битлджус,,Тим Бёртон,,1988
"Берт Ригби, ты — дурак",комедия,Карл Райнер,,1989
Бивни,приключенческий фильм,,,1988
Белая свадьба,"драма,мелодрама",Жан-Клод Бриссо,,1989
Белая горячка,драма,Робби Бенсон,,1989
Без паники,фильм ужасов,Рубен Галиндо младший,,
Безжалостный,триллер,Уильям Лустиг,,
Безумная,фильм ужасов,Тибор Такач,,1989
Бездна,"фантастика,приключения,триллер,драма",,,1989
Бич божий,драма,Олег Фиалко,,1988
Безжалостные люди,комедия,"Джим Абрахамс,Дэвид Цукер,Джерри Цукер",,1986
Бейбарс,исторический фильм,Булат Мансуров,,1989
Без сына не приходи!,"комедия,детский фильм",Радомир Василевский,,1986
Без компромиссов,боевик,Джон Ирвин,,1986
Без гроша в Беверли-Хиллз,комедия,Пол Мазурски,,
Белоснежка: Страшная сказка,"фильм ужасов,фэнтези",Майкл Кон,,1997
Бегство,социальная драма,,,1986
Беглецы,комедия,Франсис Вебер,,
Бессонница,"драма,триллер",Эрик Шёлдбьерг,,1997
Беспечные близнецы,комедия,,,1997
Банзай,комедия,Карло Вандзина,,1997
Бандитки,драма,Катя фон Гарнье,,1997
Болевой приём,боевик,Георгий Кузнецов,,1992
Барракуда,"комедия,триллер,драма",Филипп Аим,,1997
Байки у костра,фильм ужасов,"Мартин Кунерт,Девид Семел",,1997
Бедная Саша,"лирическая комедия,детектив,мелодрама",Тигран Кеосаян,,1997
Безумный город,"драма,триллер,криминальный фильм",Коста-Гаврас,,1997
Без лица,"боевик,триллер,фантастика",Джон Ву,,1997
Боб Робертс,политическая сатира,Тим Роббинс,,1992
Божьи коровки,комедия,Сидни Фьюри,,1992
Ближний круг,драма,Андрей Кончаловский,,
Во тьме,фильм ужасов,Крейг Прайс,,1993
"Билет в красный театр, или Смерть гробокопателя",,Амурбек Гобашиев,,1992
Близнецы-драконы,комедия,"Ринго Лэм,Цуй Харк",,1992
Бетховен,"комедия,семейный",,,1992
Бетти,Психологическая драма,Клод Шаброль,,1992
Благие намерения,Драма,Билле Аугуст,,
Бешеные псы,"поп-рок,софт-рок",Квентин Тарантино,,
Влияние плоти,"эротика,триллер",Грегори Ипполайт,,1993
Внезапная ярость,криминальный фильм,,,
Влюбленный король,"комедия,боевик,драма,семейный фильм",Ракеш Рошан,,1993
Витгенштейн,драма,Дерек Джармен,,1993
Влюблённое сердце,"комедия,мелодрама",,,1993
Война пуговиц,"приключенческий фильм,драма,семейный фильм",,,1994
"Ветчина, ветчина","комедия,драма,эротика",Бигас Луна,,
Во имя отца,драма,Джим Шеридан,,1993
Война,драма,Джон Эвнет,,1994
Возлюбленная с каменным сердцем,мелодрама,,,1994
Возвращение Жар-птицы,экранизация балета,Андрис Лиепа,,1994
Визуальная Библия: Евангелие от Матфея,"фильм-биография,семейный фильм,драма",Регхардт ван ден Берг,,1993
Воин племени шайеннов,"боевик,вестерн",Марк Гриффитс,,1994
Возвращение бога игроков,"боевик,комедия",,,1994
В ожидании выдоха,Романтическая драма,Форест Уитакер,,1995
Влюблённый гробовщик,"фильм ужасов,комедия",Микеле Соави,,1994
Восставший из ада 4: Кровное родство,"научно-фантастический,исторический,фильм ужасов",Кевин Ягер,,
В пасти безумия,"фантастика,фильм ужасов",Джон Карпентер,,1995
В осаде 2: Тёмная территория ,боевик,Джеф Мёрфи,,1995
Любовь и ненависть,трагикомедия,,,1996
Бэтмен навсегда,супергеройский фильм,Джоэл Шумахер,,
Ворон 2: Город ангелов,"Супергероика,городское фэнтези",Тим Поуп,,1996
Вор в законе,"боевик,триллер,криминальный фильм",Джон Ву,,1996
Война в доме,драма,Эмилио Эстевес,,1996
Воздух свободы,драма,Луис Армандо Роче,,1996
Возвращение Фантоцци,"комедия,лирики",Нери Паренти,,1996
День памяти,фильм ужасов,Кристофер Алендер,,1999
Девушка на мосту,трагикомедия,Патрис Леконт,,1999
Двухсотлетний человек,"фантастика,драма,мелодрама,комедия,семейный",Крис Коламбус,,1999
Девятые врата,"мистический,триллер",Роман Полански,,1999
Вам письмо,"комедия,мелодрама",Нора Эфрон,,1998
Вавилон-5: Третье пространство,научная фантастика,Хесус Сальвадор Тревиньо,,
«Вавилон-5»: Река душ,научная фантастика,Джэнет Грик,,
Девственницы-самоубийцы,"драма,мелодрама",София Коппола,,1999
Водитель автопогрузчика Клаус,"Короткометражный фильм,комедия","Штефан Прен,Йорг Вагнер",,2000
Водоворот,драма,Дени Вильнёв,,2000
Двойной просчёт,"детектив,триллер",Брюс Бересфорд,,1999
Вместо меня,Мелодрама,Владимир Басов—младший,,2000
Грабёж,"боевик,триллер,драма,криминал",Дэвид Мэмет,,2001
Госфорд-парк,"сатирический,детектив",Роберт Олтмен,,2001
Вне подозрений,драма,Мэттью Табак,,2000
Город и деревня,комедия,Питер Челсом,,
Гонщик,драма,Ренни Харлин,,2001
Глаза ангела,драма,Луис Мандоки,,2001
Гладиатрикс,"боевик,исторический фильм",Тимур Бекмамбетов,,2001
Воины света,"фантастика,антиутопия,фильм ужасов,боевик",Братья Спириги,,2009
Война невест,"комедия,мелодрама",Гэри Виник,,2009
Годовщина,комедийная драма,"Дженнифер Джейсон Ли,Алан Камминг",,2001
